date,lat,lon,confidence
2023-07-10,34.43062,-118.6468,66
2023-07-10,34.33606,-118.52236,66
2023-07-10,34.33338,-118.52242,66
2023-07-10,34.29242,-118.80235,66
2023-07-10,34.15178,-118.19408,66
2023-07-10,34.04078,-117.82259,66
2023-07-10,33.90837,-118.41159,66
2023-07-10,33.71526,-117.71141,66
2023-07-10,33.61333,-117.82555,66
2023-07-10,37.75835,-119.56435,66
2023-07-10,37.88166,-121.18467,66
2023-07-10,38.01473,-122.11097,66
2023-07-10,35.42341,-119.41433,66
2023-07-10,35.42457,-119.41233,66
2023-07-10,34.62244,-117.10328,66
2023-07-10,34.61956,-117.10258,66
2023-07-10,34.61065,-117.3373,66
2023-07-10,34.60416,-117.33955,66
2023-07-10,34.60598,-117.33795,66
2023-07-10,34.1516,-118.19272,66
2023-07-10,34.29235,-118.8029,66
2023-07-10,34.18008,-119.07668,66
2023-07-10,34.18333,-119.08472,66
2023-07-10,34.17259,-119.12974,66
2023-07-10,36.93268,-121.71795,66
2023-07-10,36.9333,-121.71396,66
2023-07-10,36.93226,-121.7179,66
2023-07-10,36.95995,-121.763,66
2023-07-10,36.96508,-121.76491,66
2023-07-10,36.9722,-121.75916,66
2023-07-10,38.02525,-120.59138,66
2023-07-10,38.50147,-121.72597,90
2023-07-10,38.50061,-121.72208,66
2023-07-10,38.49967,-121.72572,66
2023-07-10,38.49629,-122.01506,90
2023-07-10,38.5368,-121.89933,66
2023-07-10,38.92377,-121.58479,66
2023-07-10,38.97025,-121.52631,66
2023-07-10,39.14505,-121.94962,90
2023-07-10,39.14411,-121.95325,90
2023-07-10,39.39188,-122.00365,66
2023-07-10,39.65524,-122.11668,90
2023-07-10,39.65617,-122.11308,66
2023-07-10,39.82432,-122.04169,66
2023-07-10,39.82913,-122.04372,66
2023-07-10,38.92394,-121.58449,66
2023-07-10,39.14598,-121.94727,66
2023-07-10,39.14579,-121.95342,66
2023-07-10,39.65349,-122.11541,66
2023-07-10,39.82842,-122.03772,90
2023-07-10,39.82602,-122.03445,66
2023-07-10,39.82585,-122.04067,66
2023-07-11,34.82098,-118.75263,66
