LAT,LON,WS10M,DATE
39.5,-115.0,4.36,2020-06-02
39.5,-114.375,3.77,2020-06-02
40.0,-119.375,1.82,2020-06-02
40.0,-118.75,1.95,2020-06-02
40.0,-118.125,2.08,2020-06-02
40.0,-117.5,2.59,2020-06-02
40.0,-116.875,3.16,2020-06-02
40.0,-116.25,3.49,2020-06-02
40.0,-115.625,3.65,2020-06-02
40.0,-115.0,3.71,2020-06-02
40.0,-114.375,3.12,2020-06-02
40.5,-119.375,1.95,2020-06-02
40.5,-118.75,1.89,2020-06-02
40.5,-118.125,2.05,2020-06-02
40.5,-117.5,1.88,2020-06-02
40.5,-116.875,2.27,2020-06-02
40.5,-116.25,2.93,2020-06-02
40.5,-115.625,3.01,2020-06-02
40.5,-115.0,3.02,2020-06-02
40.5,-114.375,2.67,2020-06-02
41.0,-119.375,2.36,2020-06-02
41.0,-118.75,1.77,2020-06-02
41.0,-118.125,1.91,2020-06-02
41.0,-117.5,1.95,2020-06-02
41.0,-116.875,2.24,2020-06-02
41.0,-116.25,2.55,2020-06-02
41.0,-115.625,2.71,2020-06-02
41.0,-115.0,2.56,2020-06-02
41.0,-114.375,2.8,2020-06-02
41.5,-119.375,2.79,2020-06-02
41.5,-118.75,2.22,2020-06-02
41.5,-118.125,1.97,2020-06-02
41.5,-117.5,2.04,2020-06-02
41.5,-116.875,2.08,2020-06-02
41.5,-116.25,2.19,2020-06-02
41.5,-115.625,2.29,2020-06-02
41.5,-115.0,2.47,2020-06-02
41.5,-114.375,3.27,2020-06-02
42.0,-119.375,2.74,2020-06-02
42.0,-118.75,2.38,2020-06-02
42.0,-118.125,2.32,2020-06-02
42.0,-117.5,2.09,2020-06-02
42.0,-116.875,1.79,2020-06-02
42.0,-116.25,1.66,2020-06-02
42.0,-115.625,1.63,2020-06-02
42.0,-115.0,2.23,2020-06-02
42.0,-114.375,2.97,2020-06-02
32.5,-124.375,6.97,2020-06-02
32.5,-123.75,6.65,2020-06-02
32.5,-123.125,6.77,2020-06-02
32.5,-122.5,7.15,2020-06-02
32.5,-121.875,7.67,2020-06-02
32.5,-121.25,7.91,2020-06-02
32.5,-120.625,8.19,2020-06-02
32.5,-120.0,8.54,2020-06-02
33.0,-124.375,7.39,2020-06-02
33.0,-123.75,7.1,2020-06-02
33.0,-123.125,7.13,2020-06-02
33.0,-122.5,7.43,2020-06-02
33.0,-121.875,7.85,2020-06-02
33.0,-121.25,8.04,2020-06-02
33.0,-120.625,8.33,2020-06-02
33.0,-120.0,8.7,2020-06-02
33.5,-124.375,7.83,2020-06-02
33.5,-123.75,7.56,2020-06-02
33.5,-123.125,7.48,2020-06-02
33.5,-122.5,7.6,2020-06-02
33.5,-121.875,7.93,2020-06-02
33.5,-121.25,8.09,2020-06-02
33.5,-120.625,8.38,2020-06-02
33.5,-120.0,8.78,2020-06-02
34.0,-124.375,8.25,2020-06-02
34.0,-123.75,7.93,2020-06-02
34.0,-123.125,7.71,2020-06-02
34.0,-122.5,7.63,2020-06-02
34.0,-121.875,7.88,2020-06-02
34.0,-121.25,7.83,2020-06-02
34.0,-120.625,7.75,2020-06-02
34.0,-120.0,6.32,2020-06-02
34.5,-124.375,8.51,2020-06-02
34.5,-123.75,8.11,2020-06-02
34.5,-123.125,7.82,2020-06-02
34.5,-122.5,7.61,2020-06-02
34.5,-121.875,7.78,2020-06-02
34.5,-121.25,7.41,2020-06-02
34.5,-120.625,5.73,2020-06-02
34.5,-120.0,3.79,2020-06-02
35.0,-124.375,8.73,2020-06-02
35.0,-123.75,8.3,2020-06-02
35.0,-123.125,7.87,2020-06-02
35.0,-122.5,7.55,2020-06-02
35.0,-121.875,7.53,2020-06-02
35.0,-121.25,6.12,2020-06-02
35.0,-120.625,3.33,2020-06-02
35.0,-120.0,2.92,2020-06-02
35.5,-124.375,9.08,2020-06-02
35.5,-123.75,8.42,2020-06-02
35.5,-123.125,7.75,2020-06-02
35.5,-122.5,7.37,2020-06-02
35.5,-121.875,6.7,2020-06-02
35.5,-121.25,3.65,2020-06-02
35.5,-120.625,2.18,2020-06-02
35.5,-120.0,2.28,2020-06-02
36.0,-124.375,9.41,2020-06-02
36.0,-123.75,8.44,2020-06-02
36.0,-123.125,7.43,2020-06-02
36.0,-122.5,6.39,2020-06-02
36.0,-121.875,4.49,2020-06-02
36.0,-121.25,2.27,2020-06-02
36.0,-120.625,2.45,2020-06-02
36.0,-120.0,2.7,2020-06-02
36.5,-124.375,9.59,2020-06-02
36.5,-123.75,8.43,2020-06-02
36.5,-123.125,7.01,2020-06-02
36.5,-122.5,5.63,2020-06-02
36.5,-121.875,2.93,2020-06-02
36.5,-121.25,2.06,2020-06-02
36.5,-120.625,2.71,2020-06-02
36.5,-120.0,2.9,2020-06-02
37.0,-124.375,9.46,2020-06-02
37.0,-123.75,8.39,2020-06-02
