LAT,LON,T2M,DATE,PS,WS10M,PRECTOTCORR,RH2M
36.0,-123.125,14.44,2020-06-02,101.61,7.43,0.01,92.43
36.0,-122.5,14.35,2020-06-02,101.55,6.39,0.02,93.72
36.0,-121.875,15.08,2020-06-02,100.38,4.49,0.01,85.23
36.0,-121.25,21.08,2020-06-02,96.99,2.27,0.03,50.82
36.0,-120.625,23.54,2020-06-02,96.51,2.45,0.0,40.24
36.0,-120.0,25.14,2020-06-02,98.72,2.7,0.0,39.96
36.5,-124.375,14.44,2020-06-02,101.74,9.59,0.0,89.87
36.5,-123.75,14.13,2020-06-02,101.66,8.43,0.01,91.98
36.5,-123.125,14.03,2020-06-02,101.6,7.01,0.04,93.58
36.5,-122.5,14.23,2020-06-02,101.55,5.63,0.02,93.64
36.5,-121.875,16.94,2020-06-02,100.08,2.93,0.13,76.09
36.5,-121.25,21.82,2020-06-02,95.92,2.06,0.02,47.51
36.5,-120.625,23.62,2020-06-02,96.49,2.71,0.0,40.2
36.5,-120.0,25.4,2020-06-02,99.66,2.9,0.0,40.68
37.0,-124.375,13.85,2020-06-02,101.73,9.46,0.0,91.16
37.0,-123.75,13.66,2020-06-02,101.65,8.39,0.06,93.28
37.0,-123.125,13.74,2020-06-02,101.58,6.65,0.24,94.38
37.0,-122.5,14.41,2020-06-02,100.98,4.59,0.39,90.62
37.0,-121.875,19.93,2020-06-02,98.97,2.01,0.12,62.11
37.0,-121.25,23.59,2020-06-02,97.55,2.31,0.0,42.5
37.0,-120.625,25.1,2020-06-02,99.35,2.38,0.0,40.95
37.0,-120.0,25.96,2020-06-02,99.01,1.8,0.0,42.2
37.5,-124.375,13.42,2020-06-02,101.71,9.45,0.01,91.65
37.5,-123.75,13.06,2020-06-02,101.63,8.32,0.11,94.53
37.5,-123.125,13.27,2020-06-02,101.53,5.99,0.25,94.26
37.5,-122.5,15.89,2020-06-02,100.74,3.23,0.12,81.24
37.5,-121.875,21.56,2020-06-02,98.72,2.21,0.02,56.16
37.5,-121.25,24.36,2020-06-02,98.44,2.87,0.0,40.53
37.5,-120.625,25.94,2020-06-02,99.37,1.96,0.0,42.17
37.5,-120.0,22.38,2020-06-02,92.55,1.93,0.0,50.22
38.0,-124.375,13.43,2020-06-02,101.71,10.11,0.0,91.55
38.0,-123.75,12.46,2020-06-02,101.62,8.22,0.01,95.54
38.0,-123.125,15.09,2020-06-02,101.23,4.72,0.08,80.44
38.0,-122.5,19.67,2020-06-02,100.45,2.48,0.06,62.58
38.0,-121.875,22.7,2020-06-02,100.18,2.87,0.0,53.94
38.0,-121.25,24.8,2020-06-02,100.23,2.73,0.0,45.72
38.0,-120.625,24.38,2020-06-02,95.98,1.45,0.0,46.33
38.0,-120.0,17.29,2020-06-02,84.99,2.19,0.0,57.91
38.5,-124.375,13.21,2020-06-02,101.7,10.49,0.0,91.7
38.5,-123.75,13.57,2020-06-02,101.16,7.73,0.0,87.78
38.5,-123.125,18.81,2020-06-02,99.46,3.12,0.0,62.19
38.5,-122.5,23.09,2020-06-02,98.36,2.33,0.0,47.28
38.5,-121.875,25.26,2020-06-02,100.54,2.33,0.0,41.81
38.5,-121.25,25.7,2020-06-02,99.88,1.43,0.01,44.29
38.5,-120.625,21.76,2020-06-02,91.55,2.15,0.04,53.09
38.5,-120.0,14.55,2020-06-02,80.79,2.18,0.02,64.3
39.0,-124.375,13.2,2020-06-02,101.68,10.43,0.0,91.5
39.0,-123.75,15.63,2020-06-02,99.9,4.7,0.02,75.09
39.0,-123.125,21.66,2020-06-02,95.88,1.6,0.0,49.03
39.0,-122.5,23.93,2020-06-02,96.72,1.94,0.0,43.59
39.0,-121.875,27.21,2020-06-02,100.66,1.75,0.0,35.97
39.0,-121.25,26.25,2020-06-02,97.93,1.57,0.03,41.22
39.0,-120.625,19.26,2020-06-02,87.77,2.06,0.14,59.02
39.0,-120.0,15.68,2020-06-02,81.18,2.35,0.09,62.32
39.5,-124.375,13.19,2020-06-02,101.57,10.2,0.01,91.25
39.5,-123.75,16.56,2020-06-02,98.74,2.57,0.07,72.57
39.5,-123.125,20.55,2020-06-02,92.02,1.37,0.05,50.21
39.5,-122.5,24.28,2020-06-02,96.8,2.53,0.0,43.24
39.5,-121.875,27.63,2020-06-02,100.07,1.56,0.0,34.21
39.5,-121.25,22.81,2020-06-02,93.33,1.77,0.04,48.05
39.5,-120.625,16.1,2020-06-02,84.51,1.84,0.22,68.11
39.5,-120.0,17.18,2020-06-02,82.56,2.11,0.17,57.26
40.0,-124.375,13.27,2020-06-02,100.99,8.87,0.01,89.71
40.0,-123.75,17.52,2020-06-02,96.27,2.12,0.05,73.37
40.0,-123.125,18.93,2020-06-02,89.97,1.21,0.03,57.97
40.0,-122.5,23.78,2020-06-02,96.82,2.37,0.0,48.3
40.0,-121.875,24.47,2020-06-02,96.1,2.52,0.0,43.18
40.0,-121.25,17.8,2020-06-02,86.76,1.88,0.02,57.67
40.0,-120.625,16.87,2020-06-02,84.1,1.79,0.1,59.39
40.0,-120.0,19.24,2020-06-02,84.72,1.77,0.11,50.35
40.5,-124.375,12.96,2020-06-02,100.23,6.59,0.0,89.99
40.5,-123.75,17.14,2020-06-02,94.1,1.8,0.01,76.7
40.5,-123.125,17.73,2020-06-02,90.24,1.23,0.01,67.55
40.5,-122.5,22.53,2020-06-02,96.24,1.59,0.0,55.45
40.5,-121.875,20.38,2020-06-02,91.97,2.48,0.0,56.29
40.5,-121.25,15.4,2020-06-02,83.3,2.2,0.0,61.36
40.5,-120.625,17.47,2020-06-02,84.12,2.44,0.02,54.68
