incident_id,date,lat,lon,state,type
{14692612-421E-4CD2-9D6C-DD6D299988C1},2023-07-04,33.726765,-117.27517,US-CA,WF
{146F16BA-1F93-48ED-B56C-0920CA6F5A9B},2023-07-20,34.04848,-117.72359,US-CA,WF
{1480DB0E-F975-4A98-A4D0-1CD040201CB0},2023-07-19,38.562,-119.523167,US-CA,WF
{14A68991-CE26-4BE9-8643-813785A74BC9},2023-07-17,33.93229,-118.17071,US-CA,WF
{14C1E9A9-4EC3-4930-B063-5E89B13C7325},2023-07-03,39.39862,-120.906605,US-CA,WF
{14D54468-F6B1-4902-954A-9D550876C28E},2023-07-05,33.597123,-117.103726,US-CA,WF
{14D8E0D2-326E-456D-9F9D-8B53BD2A2755},2023-07-21,34.399815,-117.401199,US-CA,WF
{14DFF167-D54F-40A4-944A-168985B81B13},2023-07-26,38.575365,-120.713512,US-CA,WF
{14FD7D9D-9DCE-4435-A75A-09EB1DB071B3},2023-07-06,35.123633,-119.42475,US-CA,WF
{153E5ED8-1135-48A9-B3DB-71FF672030E2},2023-07-24,39.651562,-123.493399,US-CA,WF
{1542A67E-1055-4CD6-ADD1-FDE2BD12BC43},2023-07-10,34.16087,-117.98814,US-CA,WF
{1542CDA7-B523-4854-9CEA-3E51972F636C},2023-07-13,33.99923,-117.8066,US-CA,WF
{1547C4B7-52FE-4812-A152-299EEE7DE832},2023-07-03,34.424407,-117.57252,US-CA,WF
{15703F56-50D8-450F-8230-23F771DFC8D8},2023-07-03,38.708046,-122.608045,US-CA,WF
{158C6547-08CC-4F17-B0FB-9C51FA8EBFC6},2023-07-14,33.948249,-117.006182,US-CA,WF
{15BB895D-0FB0-4A8E-B75B-F1DFF78FECA2},2023-07-02,33.61776,-117.085197,US-CA,WF
{15C4BA95-19A9-43C7-AE14-1FAFEC6124F5},2023-07-04,33.90364,-118.1853,US-CA,WF
{15ED3067-E96C-4851-8960-FC1A661EF2B0},2023-07-22,37.63206,-121.538382,US-CA,WF
{160CB13C-E489-4831-BBC7-F07CFA84C00D},2023-07-29,33.703709,-117.252953,US-CA,WF
{16194BB1-361D-4B06-BB56-39385566960F},2023-07-14,34.5429,-117.97489,US-CA,WF
{161A8861-9F98-45C5-8D98-DA58D72DD591},2023-07-20,36.88025,-119.911289,US-CA,WF
